month,day,avg_daytime_temperature,years_sampled
1,1,24.35,1
1,2,23.98,1
1,3,23.13,1
1,4,24.64,1
1,5,24.26,1
1,6,20.67,1
1,7,22.05,1
1,8,20.55,1
1,9,21.75,1
1,10,26.83,1
1,11,27.19,1
1,12,23.71,1
1,13,23.84,1
1,14,22.46,1
1,15,18.91,1
1,16,20.26,1
1,17,20.21,1
1,18,20.33,1
1,19,22.26,1
1,20,23.13,1
1,21,23.21,1
1,22,21.44,1
1,23,21.41,1
1,24,22.56,1
1,25,24.35,1
1,26,23.16,1
1,27,23.39,1
1,28,23.0,1
1,29,26.44,1
1,30,26.67,1
1,31,24.42,1
2,1,25.19,1
2,2,23.67,1
2,3,24.28,1
2,4,26.52,1
2,5,25.1,1
2,6,25.25,1
2,7,22.07,1
2,8,25.15,1
2,9,23.25,1
2,10,25.58,1
2,11,23.78,1
2,12,21.3,1
2,13,20.7,1
2,14,19.88,1
2,15,26.86,1
2,16,32.44,1
2,17,21.68,1
2,18,20.35,1
2,19,23.68,1
2,20,25.83,1
2,21,26.59,1
2,22,21.09,1
2,23,22.67,1
2,24,21.75,1
2,25,21.83,1
2,26,21.33,1
2,27,20.88,1
2,28,19.39,1
3,1,16.91,1
3,2,18.25,1
3,3,19.92,1
3,4,21.93,1
3,5,20.48,1
3,6,19.65,1
3,7,19.51,1
3,8,24.31,1
3,9,28.95,1
3,10,33.4,1
3,11,36.19,1
3,12,34.17,1
3,13,25.3,1
3,14,24.8,1
3,15,28.92,1
3,16,22.77,1
3,17,24.44,1
3,18,22.78,1
3,19,20.22,1
3,20,20.16,1
3,21,21.15,1
3,22,21.02,1
3,23,23.37,1
3,24,30.19,1
3,25,19.28,1
3,26,20.69,1
3,27,18.82,1
3,28,20.3,1
3,29,21.09,1
3,30,21.29,1
3,31,23.79,1
4,1,22.68,1
4,2,24.56,1
4,3,21.49,1
4,4,19.77,1
4,5,19.45,1
4,6,19.64,1
4,7,22.75,1
4,8,30.51,1
4,9,28.25,1
4,10,22.1,1
4,11,22.04,1
4,12,22.67,1
4,13,24.18,1
4,14,20.45,1
4,15,18.53,1
4,16,17.99,1
4,17,13.4,1
4,18,14.71,1
4,19,14.2,1
4,20,15.44,1
4,21,15.15,1
4,22,16.63,1
4,23,18.54,1
4,24,23.17,1
4,25,17.11,1
4,26,14.58,1
4,27,15.12,1
4,28,15.43,1
4,29,16.81,1
4,30,16.68,1
5,1,15.78,1
5,2,15.72,1
5,3,17.1,1
5,4,16.41,1
5,5,14.79,1
5,6,16.44,1
5,7,16.88,1
5,8,17.22,1
5,9,14.36,1
5,10,12.44,1
5,11,16.43,1
5,12,17.09,1
5,13,16.11,1
5,14,15.39,1
5,15,17.24,1
5,16,17.95,1
5,17,17.98,1
5,18,18.71,1
5,19,20.1,1
5,20,19.61,1
5,21,15.06,1
5,22,15.79,1
5,23,17.34,1
5,24,17.64,1
5,25,17.08,1
5,26,16.35,1
5,27,15.79,1
5,28,15.89,1
5,29,16.95,1
5,30,16.98,1
5,31,18.72,1
6,1,16.42,1
6,2,16.51,1
6,3,15.65,1
6,4,15.65,1
6,5,15.13,1
6,6,14.23,1
6,7,15.37,1
6,8,14.83,1
6,9,16.04,1
6,10,14.82,1
6,11,14.79,1
6,12,15.31,1
6,13,14.34,1
6,14,11.71,1
6,15,13.46,1
6,16,15.25,1
6,17,16.79,1
6,18,16.48,1
6,19,17.95,1
6,20,22.84,1
6,21,20.65,1
6,22,14.21,1
6,23,15.05,1
6,24,14.46,1
6,25,18.3,1
6,26,16.72,1
6,27,14.07,1
6,28,13.83,1
6,29,12.02,1
6,30,12.23,1
7,1,13.25,1
7,2,12.5,1
7,3,13.64,1
7,4,13.86,1
7,5,14.56,1
7,6,15.13,1
7,7,14.94,1
7,8,15.36,1
7,9,14.24,1
7,10,14.78,1
7,11,15.74,1
7,12,15.59,1
7,13,11.6,1
7,14,12.62,1
7,15,14.06,1
7,16,15.39,1
7,17,16.2,1
7,18,13.89,1
7,19,13.62,1
7,20,13.06,1
7,21,13.37,1
7,22,12.28,1
7,23,13.95,1
7,24,13.82,1
7,25,16.95,1
7,26,18.3,1
7,27,14.68,1
7,28,15.81,1
7,29,16.83,1
7,30,17.64,1
7,31,20.53,1
8,1,21.85,1
8,2,17.85,1
8,3,20.18,1
8,4,17.09,1
8,5,13.69,1
8,6,13.81,1
8,7,14.94,1
8,8,13.6,1
8,9,12.24,1
8,10,12.75,1
8,11,15.71,1
8,12,18.5,1
8,13,22.04,1
8,14,14.44,1
8,15,15.15,1
8,16,14.24,1
8,17,14.75,1
8,18,16.16,1
8,19,16.17,1
8,20,15.82,1
8,21,18.39,1
8,22,15.35,1
8,23,16.83,1
8,24,16.59,1
8,25,17.91,1
8,26,21.52,1
8,27,20.65,1
8,28,18.32,1
8,29,15.37,1
8,30,15.18,1
8,31,15.65,1
9,1,16.25,1
9,2,17.54,1
9,3,15.21,1
9,4,17.42,1
9,5,19.33,1
9,6,23.09,1
9,7,25.07,1
9,8,23.42,1
9,9,19.28,1
9,10,18.02,1
9,11,18.65,1
9,12,17.04,1
9,13,20.39,1
9,14,15.39,1
9,15,14.42,1
