month,day,avg_accumulated_precipitation,years_sampled
1,1,0.9,1
1,2,1.3,1
1,3,1.3,1
1,4,2.5,1
1,5,13.0,1
1,6,18.5,1
1,7,18.5,1
1,8,18.5,1
1,9,19.2,1
1,10,20.8,1
1,11,29.7,1
1,12,43.3,1
1,13,51.8,1
1,14,51.9,1
1,15,52.1,1
1,16,52.1,1
1,17,52.1,1
1,18,52.1,1
1,19,52.1,1
1,20,52.1,1
1,21,52.1,1
1,22,52.1,1
1,23,52.1,1
1,24,52.8,1
1,25,54.6,1
1,26,55.5,1
1,27,55.5,1
1,28,55.5,1
1,29,55.5,1
1,30,66.6,1
1,31,68.5,1
2,1,73.1,1
2,2,80.7,1
2,3,82.8,1
2,4,85.0,1
2,5,91.0,1
2,6,104.7,1
2,7,108.9,1
2,8,108.9,1
2,9,108.9,1
2,10,108.9,1
2,11,108.9,1
2,12,115.2,1
2,13,117.3,1
2,14,121.7,1
2,15,122.6,1
2,16,122.6,1
2,17,124.3,1
2,18,124.6,1
2,19,125.8,1
2,20,129.7,1
2,21,171.9,1
2,22,186.9,1
2,23,187.8,1
2,24,188.0,1
2,25,190.4,1
2,26,190.4,1
2,27,191.2,1
2,28,193.4,1
3,1,194.8,1
3,2,194.8,1
3,3,195.0,1
3,4,195.0,1
3,5,196.0,1
3,6,197.7,1
3,7,198.0,1
3,8,198.8,1
3,9,198.8,1
3,10,198.8,1
3,11,200.1,1
3,12,203.6,1
3,13,217.3,1
3,14,237.6,1
3,15,238.2,1
3,16,238.6,1
3,17,241.7,1
3,18,246.6,1
3,19,253.7,1
3,20,254.3,1
3,21,256.6,1
3,22,258.4,1
3,23,260.0,1
3,24,260.7,1
3,25,261.1,1
3,26,261.1,1
3,27,261.1,1
3,28,261.8,1
3,29,263.3,1
3,30,263.7,1
3,31,266.3,1
4,1,266.3,1
4,2,276.2,1
4,3,278.7,1
4,4,278.7,1
4,5,278.8,1
4,6,284.0,1
4,7,285.5,1
4,8,287.7,1
4,9,290.5,1
4,10,292.3,1
4,11,298.9,1
4,12,309.7,1
4,13,312.5,1
4,14,315.5,1
4,15,321.0,1
4,16,328.3,1
4,17,330.2,1
4,18,331.6,1
4,19,333.2,1
4,20,351.0,1
4,21,352.5,1
4,22,353.4,1
4,23,358.3,1
4,24,359.2,1
4,25,360.9,1
4,26,366.1,1
4,27,370.9,1
4,28,371.4,1
4,29,379.7,1
4,30,390.0,1
5,1,391.2,1
5,2,393.2,1
5,3,397.1,1
5,4,408.5,1
5,5,409.0,1
5,6,410.7,1
5,7,412.2,1
5,8,416.0,1
5,9,420.2,1
5,10,427.9,1
5,11,450.4,1
5,12,456.9,1
5,13,490.2,1
5,14,525.0,1
5,15,543.3,1
5,16,551.2,1
5,17,555.6,1
5,18,562.0,1
5,19,568.9,1
5,20,578.7,1
5,21,595.5,1
5,22,649.8,1
5,23,665.0,1
5,24,687.7,1
5,25,707.8,1
5,26,731.6,1
5,27,747.8,1
5,28,758.2,1
5,29,763.3,1
5,30,764.6,1
5,31,766.8,1
6,1,768.7,1
6,2,773.9,1
6,3,779.1,1
6,4,798.4,1
6,5,810.9,1
6,6,816.4,1
6,7,826.6,1
6,8,842.6,1
6,9,844.5,1
6,10,853.0,1
6,11,885.8,1
6,12,913.3,1
6,13,918.4,1
6,14,920.8,1
6,15,930.0,1
6,16,939.1,1
6,17,953.0,1
6,18,1003.2,1
6,19,1006.4,1
6,20,1007.2,1
6,21,1013.7,1
6,22,1042.8,1
6,23,1048.3,1
6,24,1067.2,1
6,25,1074.5,1
6,26,1090.5,1
6,27,1097.5,1
6,28,1125.1,1
6,29,1154.7,1
6,30,1156.0,1
7,1,1159.7,1
7,2,1161.1,1
7,3,1170.4,1
7,4,1191.6,1
7,5,1192.7,1
7,6,1192.8,1
7,7,1194.0,1
7,8,1194.7,1
7,9,1198.9,1
7,10,1210.1,1
7,11,1212.2,1
7,12,1213.9,1
7,13,1219.1,1
7,14,1220.6,1
7,15,1222.8,1
7,16,1224.6,1
7,17,1229.2,1
7,18,1230.4,1
7,19,1237.7,1
7,20,1242.1,1
7,21,1243.7,1
7,22,1245.6,1
7,23,1246.6,1
7,24,1248.7,1
7,25,1252.2,1
7,26,1258.3,1
7,27,1261.4,1
7,28,1265.6,1
7,29,1267.7,1
7,30,1273.1,1
7,31,1290.7,1
8,1,1297.2,1
8,2,1300.7,1
8,3,1309.2,1
8,4,1316.4,1
8,5,1317.2,1
8,6,1319.6,1
8,7,1332.1,1
8,8,1345.8,1
8,9,1351.9,1
8,10,1354.2,1
8,11,1357.6,1
8,12,1358.3,1
8,13,1359.0,1
8,14,1367.4,1
8,15,1369.1,1
8,16,1372.0,1
8,17,1378.1,1
8,18,1380.8,1
8,19,1385.9,1
8,20,1392.7,1
8,21,1393.6,1
8,22,1395.1,1
8,23,1398.3,1
8,24,1405.2,1
8,25,1420.7,1
8,26,1425.7,1
8,27,1426.1,1
8,28,1429.3,1
8,29,1435.0,1
8,30,1435.8,1
8,31,1440.1,1
9,1,1442.2,1
9,2,1444.3,1
9,3,1448.5,1
9,4,1450.6,1
9,5,1451.6,1
9,6,1452.6,1
9,7,1455.0,1
9,8,1462.0,1
9,9,1468.5,1
9,10,1469.1,1
